"path","frequency","recent"
"C:\Dev\HFNY-Prototype","12","2"
"C:\dev\hfny.git.old","16","5"
"C:\Dev\HFNY-Pro","7","5"
"C:\Users\jr286576\Documents\GitHub","18","38"
"C:\Users\jr286576\Documents\GitHub\hfny.git","6","4"
"C:\Users\jr286576\temp\workspace","7","4"
"C:\Users\jr286576\Documents\GitHub\hfny","38","165"
"C:\Users\jr286576\Documents\GitHub\famsys","5","3"
"C:\Users\jr286576\Documents\GitHub\FamSys.sql","4","1"
"C:\Users\jr286576\Documents\GitHub\NJPAT","11","15"
"C:\Users\jr286576\Documents\GitHub\njpat.sql","8","11"
"C:\Users\jr286576\Documents\GitHub\FamSys\famsys\HFNJ","5","7"
"C:\Users\jr286576","7","28"
"C:\Users\jr286576\Documents\WindowsPowerShell","4","9"
"C:\Users\jr286576\Documents\GitHub\git_for_svn_users","3","6"
"C:\Users\jr286576\Documents\GitHub\Dotfiles","6","18"
"C:\Users\jr286576\appdata\roaming\notepad2","5","8"
"C:\Users\jr286576\Documents\GitHub\Notepad2Mod-Settings","2","1"
"C:\Users\jr286576\Documents\Visual Studio 2010\Settings","2","2"
"C:\Users\jr286576\Documents\GitHub\hfny.sql","10","41"
"C:\Users\jr286576\Documents\GitHub\hfny.sql.old","11","58"
"HKLM:\software","2","3"
"C:\Users\jr286576\Documents","3","8"
"C:\Users\jr286576\Documents\GitHub\HFNY.sql\hfny.main","12","70"
"C:\Users\jr286576\Documents\WindowsPowerShell\Transcripts","3","8"
"C:\Users\jr286576\Documents\Visual Studio 2013\Projects","3","10"
"C:\Users\jr286576\Documents\Visual Studio 2013\Projects\TestApp","3","14"
"C:\Users\jr286576\Documents\Visual Studio 2013\Projects\XtraCatalog","1","1"
"C:\Users\jr286576\Documents\WindowsPowerShell\Modules","2","6"
"C:\Users\jr286576\Documents\WindowsPowerShell\modules\Pipeworks\","1","1"
"","1","1"
"C:\Users\jr286576\Documents\GitHub\tipsy-d3","2","11"
"C:\Users\jr286576\Documents\GitHub\twitter.github.com","1","2"
"C:\Users\jr286576\Documents\GitHub\beets","4","19"
"C:\Users\jr286576\Documents\GitHub\beets\test","1","3"
"","1","3"
"U:\","1","4"
"","1","4"
"C:\Users\jr286576\Music","1","4"
"C:\Users\jr286576\Music\Playlists","2","9"
"C:\Users\jr286576\Music\Playlists\Burned\All Lists\MP3\ListMaker","1","4"
"C:\Users\jr286576\Music\Playlists\Burned\All Lists\MP3","1","4"
"C:\dev","2","11"
"C:\dev\HFNY-Prototype2","2","10"
"C:\dev\nhl-api-master","1","5"
"C:\dev\nhl-api-master\redis-2.6.14","1","5"
"C:\dev\nhl-api-master\redis-2.8.4","2","11"
"C:\dev\nhl-api-master\node_modules\redis","1","5"
"C:\Users\jr286576\Documents\GitHub\atom","2","12"
"C:\","1","6"
"C:\atom","2","12"
"C:\python27","1","6"
"C:\python27\lib","1","6"
"","1","6"
"","1","6"
"Z:\Videos\Videos\The_All-American_Rejects-Live_at_Celebrity_Beach_Bowl_(07-02-10)-x264-2010-SRP","1","6"
"C:\dev\jay","1","6"
"C:\Users\jr286576\Downloads","1","7"
"C:\Users\jr286576\Documents\GitHub\spotify-export","2","14"
"C:\Users\jr286576\Documents\GitHub\spotify-export\spotify-export-master","2","14"
"","1","7"
"C:\Program Files (x86)\atom","2","16"
"C:\Program Files (x86)\atom\resources","2","16"
"C:\Program Files (x86)\atom\resources\app","1","8"
"C:\Program Files (x86)\atom\resources\app\apm","1","8"
"C:\Users\jr286576\.atom","2","16"
"C:\Users\jr286576\.atom\.node-gyp","1","8"
"C:\Users\jr286576\.atom\.npm","1","8"
"C:\Users\jr286576\Documents\GitHub\apm","1","8"
"","1","8"
"C:\Program Files\nodejs\node_modules\npm\node_modules\node-gyp","1","9"
"C:\Program Files\nodejs\node_modules\npm\node_modules\node-gyp\gyp","1","9"
"","1","9"
"","1","9"
"C:\tmp","2","19"
"Alias:\","1","9"
"C:\Users\jr286576\Documents\GitHub\HFNY\HFNY","1","10"
"C:\Users\jr286576\Documents\WindowsPowerShell\","1","10"
